"product_type_id","type_name","parent_type_id"
1,"Смартфоны и планшеты",NULL
2,"Ноутбуки и компьютеры",NULL
3,"Товары для геймеров",NULL
4,"Умный дом",NULL
5,"Техника для кухни",NULL
6,"Инструменты для ремонта",NULL
7,"Офисная техника и мебель",NULL
8,"Комплектующие для ПК",NULL
9,"Телевизоры, аудио-видео техника",NULL
10,"Техника для дома",NULL
11,"Красота и здоровье",NULL
12,"Дом, дача и авто",NULL
13,"Каниговары",NULL
14,"Уценённые товары",NULL
15,"Акции",NULL
16,"Смартфоны",1
17,"Сотовые телефоны",1
18,"Аксессуары для смартфонов",1
19,"Планшеты",1
20,"Аксессуары для планшетов",1
21,"Внешние аккумуляторы (Power Bank)",1
22,"Наушники",1
23,"Зарядные устройства",1
24,"Кабели для смартфонов и планшетов",1
25,"Аксессуары для наушников",1
26,"Чехлы для смартфонов",18
27,"Защитные пленки и стекла",18
28,"Портативные колонки",18
29,"Карты памяти",18
30,"Держатели для смартфонов",18
31,"SIM карты (тарифные планы)",18
32,"Прочие аксессуары для смартфонов",18
33,"Чехлы для планшетов",20
34,"Защитные пленки для планшетов",20
35,"Прочие аксессуары для планшетов",20
36,"Смарт-часы, гаджеты и фото",NULL
37,"Смарт-часы и аксессуары",36
38,"Квадрокоптеры и аксессуары",36
39,"Электротранспорт",36
40,"Электронные книги",36
41,"Рации",36
42,"Умные и портативные колонки",36
43,"Портативная техника",36
44,"Фототехника",36
45,"Штативы, стабилизаторы и селфи-палки",36
46,"Микрофоны",36
47,"Студийный свет",36
48,"Музыкальные инструменты",36
49,"Смарт-часы",37
50,"Детские смарт-часы",37
51,"Мужские смарт-часы",37
52,"Женские смарт-часы",37
53,"Фитнес-браслеты",37
54,"Аксессуары для смарт-часов",37
55,"Электровелосипеды",39
56,"Электросамокаты",39
57,"Аксессуары для средств передвижения",39
58,"Беспроводные колонки",42
59,"Внешние аккумуляторы (Power Bank)",43
60,"MP3 плееры",43
61,"Диктофоны",43
62,"Беспроводные наушники",43
63,"Экшн-камеры",44
64,"Цифровые фотоаппараты",44
65,"Беззеркальные камеры",44
66,"Цифровые фоторамки",44
67,"Компактные фотопринтеры",44
68,"Видеокамеры",44
69,"Карты памяти",44
70,"Аксессуары для фото и видео",44
71,"Синтезаторы",48
72,"Музыкальные пульты",48
73,"Аксессуары для музыкальных инструментов",48
